category,key,label,price_jpy,enabled,note
requestType,icon,依頼種別: アイコン,6000,TRUE,基本料金
requestType,bust,依頼種別: バストアップ,10000,TRUE,基本料金
requestType,full_illust,依頼種別: 全身一枚絵,18000,TRUE,基本料金
requestType,char_design,依頼種別: キャラクターデザイン,22000,TRUE,基本料金
requestType,live2d_parts,依頼種別: Live2D用パーツ分け立ち絵,30000,TRUE,基本料金
requestType,live2d_anim,依頼種別: Live2Dアニメーション素材,26000,TRUE,基本料金
usageType,personal,使用用途: 個人観賞,0,TRUE,用途加算
usageType,sns_icon,使用用途: SNSアイコン,1000,TRUE,用途加算
usageType,streaming,使用用途: 配信,3000,TRUE,用途加算
usageType,video,使用用途: 動画,4000,TRUE,用途加算
usageType,commercial,使用用途: 商用利用,7000,TRUE,用途加算
sizeType,size_icon,サイズ/範囲: アイコン,0,TRUE,サイズ加算
sizeType,size_bust,サイズ/範囲: バストアップ,2000,TRUE,サイズ加算
sizeType,size_waist,サイズ/範囲: 腰上,4000,TRUE,サイズ加算
sizeType,size_full,サイズ/範囲: 全身,7000,TRUE,サイズ加算
backgroundType,bg_none,背景: なし,0,TRUE,背景加算
backgroundType,bg_simple,背景: 簡易背景,3000,TRUE,背景加算
backgroundType,bg_detailed,背景: 描き込み背景,10000,TRUE,背景加算
options,faceDiffEach,表情差分(1点あたり),1000,TRUE,個数入力に応じて加算
options,costumeDiffEach,衣装差分(1点あたり),3000,TRUE,個数入力に応じて加算
options,commercialFlag,追加条件: 商用利用あり,6000,TRUE,チェック時に加算
options,noPortfolio,追加条件: 実績公開不可,5000,TRUE,チェック時に加算
options,rushOrder,追加条件: 短納期希望,8000,TRUE,チェック時に加算
options,optParts,Live2Dオプション: パーツ分け,8000,TRUE,チェック時に加算
options,optLoopAnim,Live2Dオプション: ループアニメーション,12000,TRUE,チェック時に加算
options,optExportGifWebp,Live2Dオプション: GIF / WebP 書き出し,3000,TRUE,チェック時に加算
